period,slot,model_type,n_samples,accuracy,profit_factor,score
5_ans_live,sunday_9_20,lgbm,34452,0.510867,1.044674,0.515455
5_ans_live,sunday_9_20,xgb,34452,0.512052,1.049637,0.517158
5_ans_live,sunday_0_9,lgbm,28132,0.506314,1.025969,0.508982
5_ans_live,sunday_0_9,xgb,28132,0.501706,1.007093,0.502443
5_ans_live,sunday_20_24,lgbm,12528,0.5,1.000967,0.500193
5_ans_live,sunday_20_24,xgb,12528,0.502586,1.012612,0.504074
5_ans_live,friday_all,lgbm,74880,0.501859,1.007682,0.502652
5_ans_live,friday_all,xgb,74880,0.501218,1.004982,0.501727
5_ans_live,saturday_7_14,lgbm,21924,0.510345,1.042524,0.514712
5_ans_live,saturday_7_14,xgb,21924,0.512589,1.052111,0.517976
5_ans_live,saturday_0_7,lgbm,21924,0.506842,1.027904,0.509686
5_ans_live,saturday_0_7,xgb,21924,0.507225,1.029726,0.51028
5_ans_live,saturday_14_24,lgbm,31320,0.497088,0.989043,0.496062
5_ans_live,saturday_14_24,xgb,31320,0.500613,1.002634,0.500895
5_ans_live,weekdays_day,lgbm,162797,0.503494,1.014158,0.504928
5_ans_live,weekdays_day,xgb,162797,0.501172,1.004715,0.501646
5_ans_live,weekdays_night,lgbm,87666,0.503744,1.015161,0.505278
5_ans_live,weekdays_night,xgb,87666,0.503347,1.013671,0.504742
5_ans_live,weekdays_eve,lgbm,50064,0.504099,1.016852,0.50583
5_ans_live,weekdays_eve,xgb,50064,0.503356,1.013952,0.504804
1_an,sunday_9_20,lgbm,6864,0.497203,0.990617,0.496445
1_an,sunday_9_20,xgb,6864,0.493357,0.975013,0.491017
1_an,sunday_0_9,lgbm,5616,0.500214,1.004286,0.500985
1_an,sunday_0_9,xgb,5616,0.494017,0.979791,0.492368
1_an,sunday_20_24,lgbm,2496,0.511538,1.051003,0.517124
1_an,sunday_20_24,xgb,2496,0.513462,1.056205,0.519318
1_an,friday_all,lgbm,14976,0.498638,0.994706,0.498124
1_an,friday_all,xgb,14976,0.5,1.000337,0.500067
1_an,saturday_7_14,lgbm,4368,0.485714,0.94632,0.480693
1_an,saturday_7_14,xgb,4368,0.495604,0.983583,0.494079
1_an,saturday_0_7,lgbm,4368,0.496703,0.989232,0.495868
1_an,saturday_0_7,xgb,4368,0.488462,0.955888,0.484254
1_an,saturday_14_24,lgbm,6240,0.505,1.020975,0.507195
1_an,saturday_14_24,xgb,6240,0.507115,1.029823,0.510234
1_an,weekdays_day,lgbm,32434,0.504385,1.018447,0.50632
1_an,weekdays_day,xgb,32434,0.502276,1.00968,0.503301
1_an,weekdays_night,lgbm,17472,0.500137,1.00172,0.500426
1_an,weekdays_night,xgb,17472,0.501511,1.006927,0.502292
1_an,weekdays_eve,lgbm,9984,0.510817,1.045622,0.515615
1_an,weekdays_eve,xgb,9984,0.505409,1.022619,0.507769
6_mois,sunday_9_20,lgbm,3432,0.488462,0.957061,0.484489
6_mois,sunday_9_20,xgb,3432,0.484266,0.941509,0.478861
6_mois,sunday_0_9,lgbm,2808,0.497436,0.993005,0.497062
6_mois,sunday_0_9,xgb,2808,0.496154,0.988778,0.495448
6_mois,sunday_20_24,lgbm,1248,0.469231,0.888961,0.459331
6_mois,sunday_20_24,xgb,1248,0.463462,0.869259,0.451929
6_mois,friday_all,lgbm,7200,0.508167,1.037666,0.512433
6_mois,friday_all,xgb,7200,0.5105,1.045388,0.515378
6_mois,saturday_7_14,lgbm,2100,0.496,0.985396,0.494679
6_mois,saturday_7_14,xgb,2100,0.500571,1.003691,0.501081
6_mois,saturday_0_7,lgbm,2100,0.486286,0.950331,0.481838
6_mois,saturday_0_7,xgb,2100,0.5,1.00103,0.500206
6_mois,saturday_14_24,lgbm,3077,0.485547,0.944801,0.480288
6_mois,saturday_14_24,xgb,3077,0.495703,0.984147,0.494251
6_mois,weekdays_day,lgbm,16181,0.491024,0.965533,0.487721
6_mois,weekdays_day,xgb,16181,0.493027,0.973333,0.490483
6_mois,weekdays_night,lgbm,8736,0.508379,1.034261,0.51188
6_mois,weekdays_night,xgb,8736,0.505495,1.022788,0.507854
6_mois,weekdays_eve,lgbm,4944,0.501942,1.008951,0.502955
6_mois,weekdays_eve,xgb,4944,0.48835,0.955362,0.484082
3_mois,sunday_9_20,lgbm,1716,0.487413,0.952626,0.482973
3_mois,sunday_9_20,xgb,1716,0.484615,0.945921,0.479954
3_mois,sunday_0_9,lgbm,1404,0.500855,1.013259,0.503165
3_mois,sunday_0_9,xgb,1404,0.511966,1.056858,0.518551
3_mois,sunday_20_24,lgbm,624,0.507692,1.06997,0.518609
3_mois,sunday_20_24,xgb,624,0.484615,0.941005,0.47897
3_mois,friday_all,lgbm,3456,0.497222,0.99174,0.496681
3_mois,friday_all,xgb,3456,0.511458,1.050803,0.517036
3_mois,saturday_7_14,lgbm,1008,0.521429,1.122483,0.537354
3_mois,saturday_7_14,xgb,1008,0.517857,1.109007,0.532516
3_mois,saturday_0_7,lgbm,1008,0.510714,1.054226,0.517274
3_mois,saturday_0_7,xgb,1008,0.516667,1.075118,0.525024
3_mois,saturday_14_24,lgbm,1517,0.50873,1.037293,0.512697
3_mois,saturday_14_24,xgb,1517,0.513492,1.056792,0.519454
3_mois,weekdays_day,lgbm,8069,0.494494,0.979984,0.492693
3_mois,weekdays_day,xgb,8069,0.49375,0.97801,0.491852
3_mois,weekdays_night,lgbm,4368,0.498077,0.994326,0.497711
3_mois,weekdays_night,xgb,4368,0.495604,0.984477,0.494258
3_mois,weekdays_eve,lgbm,2448,0.491176,0.969525,0.488611
3_mois,weekdays_eve,xgb,2448,0.501961,1.011248,0.503426
